transaction_id,account_from,account_to,iban_from,iban_to,amount,currency,transaction_ts,branch_id,channel,customer_document,card_number,updated_at,cdc_operation,_source_name,_source_file,_source_row
TXN-20260825-000093,ACC-100092,ACC-700092,PE66FINA0000000000100092,PE28FINA0000000000700092,13445.42,PEN,2026-08-25T09:04:00-05:00,AQP001,ATM,70000092,4556000000000092,2026-08-25T09:05:00-05:00,I,atm_AQP001,atm_AQP001.csv,14
TXN-20260825-000094,ACC-100093,ACC-700093,PE67FINA0000000000100093,PE29FINA0000000000700093,10508.84,PEN,2026-08-25T09:06:00-05:00,AQP001,ATM,70000093,4556000000000093,2026-08-25T09:07:00-05:00,I,atm_AQP001,atm_AQP001.csv,15
TXN-20260825-000095,ACC-100094,ACC-700094,PE68FINA0000000000100094,PE30FINA0000000000700094,8021.36,PEN,2026-08-25T09:08:00-05:00,AQP001,ATM,70000094,4556000000000094,2026-08-25T09:09:00-05:00,I,atm_AQP001,atm_AQP001.csv,16
TXN-20260825-000096,ACC-100095,ACC-700095,PE69FINA0000000000100095,PE31FINA0000000000700095,16737.44,PEN,2026-08-25T09:10:00-05:00,AQP001,ATM,70000095,4556000000000095,2026-08-25T09:11:00-05:00,I,atm_AQP001,atm_AQP001.csv,17
TXN-20260825-000097,ACC-100096,ACC-700096,PE70FINA0000000000100096,PE32FINA0000000000700096,15371.01,PEN,2026-08-25T09:12:00-05:00,AQP001,ATM,70000096,4556000000000096,2026-08-25T09:13:00-05:00,I,atm_AQP001,atm_AQP001.csv,18
TXN-20260825-000098,ACC-100097,ACC-700097,PE71FINA0000000000100097,PE33FINA0000000000700097,14729.27,PEN,2026-08-25T09:14:00-05:00,AQP001,ATM,70000097,4556000000000097,2026-08-25T09:15:00-05:00,I,atm_AQP001,atm_AQP001.csv,19
TXN-20260825-000099,ACC-100098,ACC-700098,PE72FINA0000000000100098,PE34FINA0000000000700098,5083.37,PEN,2026-08-25T09:16:00-05:00,AQP001,ATM,70000098,4556000000000098,2026-08-25T09:17:00-05:00,I,atm_AQP001,atm_AQP001.csv,20
TXN-20260825-000100,ACC-100099,ACC-700099,PE73FINA0000000000100099,PE35FINA0000000000700099,18796.01,PEN,2026-08-25T09:18:00-05:00,AQP001,ATM,70000099,4556000000000099,2026-08-25T09:19:00-05:00,I,atm_AQP001,atm_AQP001.csv,21
TXN-20260825-000101,ACC-100100,ACC-700100,PE74FINA0000000000100100,PE36FINA0000000000700100,13180.1,USD,2026-08-25T09:20:00-05:00,AQP001,ATM,70000100,4556000000000100,2026-08-25T09:21:00-05:00,I,atm_AQP001,atm_AQP001.csv,22
TXN-20260825-000102,ACC-100101,ACC-700101,PE75FINA0000000000100101,PE37FINA0000000000700101,23775.54,PEN,2026-08-25T09:22:00-05:00,AQP001,ATM,70000101,4556000000000101,2026-08-25T09:23:00-05:00,I,atm_AQP001,atm_AQP001.csv,23
TXN-20260825-000103,ACC-100102,ACC-700102,PE76FINA0000000000100102,PE38FINA0000000000700102,22215.34,PEN,2026-08-25T09:24:00-05:00,AQP001,ATM,70000102,4556000000000102,2026-08-25T09:25:00-05:00,I,atm_AQP001,atm_AQP001.csv,24
TXN-20260825-000104,ACC-100103,ACC-700103,PE77FINA0000000000100103,PE39FINA0000000000700103,14308.14,PEN,2026-08-25T09:26:00-05:00,AQP001,ATM,70000103,4556000000000103,2026-08-25T09:27:00-05:00,I,atm_AQP001,atm_AQP001.csv,25
TXN-20260825-000105,ACC-100104,ACC-700104,PE78FINA0000000000100104,PE40FINA0000000000700104,5034.4,PEN,2026-08-25T09:28:00-05:00,AQP001,ATM,70000104,4556000000000104,2026-08-25T09:29:00-05:00,I,atm_AQP001,atm_AQP001.csv,26
TXN-20260825-000106,ACC-100105,ACC-700105,PE79FINA0000000000100105,PE41FINA0000000000700105,21548.53,PEN,2026-08-25T09:30:00-05:00,AQP001,ATM,70000105,4556000000000105,2026-08-25T09:31:00-05:00,I,atm_AQP001,atm_AQP001.csv,27
TXN-20260825-000107,ACC-100106,ACC-700106,PE80FINA0000000000100106,PE42FINA0000000000700106,22172.39,PEN,2026-08-25T09:32:00-05:00,AQP001,ATM,70000106,4556000000000106,2026-08-25T09:33:00-05:00,I,atm_AQP001,atm_AQP001.csv,28
TXN-20260825-000108,ACC-100107,ACC-700107,PE81FINA0000000000100107,PE43FINA0000000000700107,18342.69,PEN,2026-08-25T09:34:00-05:00,AQP001,ATM,70000107,4556000000000107,2026-08-25T09:35:00-05:00,I,atm_AQP001,atm_AQP001.csv,29
TXN-20260825-000109,ACC-100108,ACC-700108,PE82FINA0000000000100108,PE44FINA0000000000700108,19187.87,PEN,2026-08-25T09:36:00-05:00,AQP001,ATM,70000108,4556000000000108,2026-08-25T09:37:00-05:00,I,atm_AQP001,atm_AQP001.csv,30
TXN-20260825-000110,ACC-100109,ACC-700109,PE83FINA0000000000100109,PE45FINA0000000000700109,3742.0,PEN,2026-08-25T09:38:00-05:00,AQP001,ATM,70000109,4556000000000109,2026-08-25T09:39:00-05:00,I,atm_AQP001,atm_AQP001.csv,31
TXN-20260825-000111,ACC-100110,ACC-700110,PE84FINA0000000000100110,PE46FINA0000000000700110,8139.93,USD,2026-08-25T09:40:00-05:00,AQP001,ATM,70000110,4556000000000110,2026-08-25T09:41:00-05:00,I,atm_AQP001,atm_AQP001.csv,32
TXN-20260825-000112,ACC-100111,ACC-700111,PE85FINA0000000000100111,PE47FINA0000000000700111,24486.8,PEN,2026-08-25T09:42:00-05:00,AQP001,ATM,70000111,4556000000000111,2026-08-25T09:43:00-05:00,I,atm_AQP001,atm_AQP001.csv,33
TXN-20260825-000113,ACC-100112,ACC-700112,PE86FINA0000000000100112,PE48FINA0000000000700112,23270.21,PEN,2026-08-25T09:44:00-05:00,AQP001,ATM,70000112,4556000000000112,2026-08-25T09:45:00-05:00,I,atm_AQP001,atm_AQP001.csv,34
TXN-20260825-000114,ACC-100113,ACC-700113,PE87FINA0000000000100113,PE49FINA0000000000700113,11978.15,PEN,2026-08-25T09:46:00-05:00,AQP001,ATM,70000113,4556000000000113,2026-08-25T09:47:00-05:00,I,atm_AQP001,atm_AQP001.csv,35
TXN-20260825-000115,ACC-100114,ACC-700114,PE88FINA0000000000100114,PE50FINA0000000000700114,6497.97,PEN,2026-08-25T09:48:00-05:00,AQP001,ATM,70000114,4556000000000114,2026-08-25T09:49:00-05:00,I,atm_AQP001,atm_AQP001.csv,36
TXN-20260825-000116,ACC-100115,ACC-700115,PE89FINA0000000000100115,PE51FINA0000000000700115,12475.39,PEN,2026-08-25T09:50:00-05:00,AQP001,ATM,70000115,4556000000000115,2026-08-25T09:51:00-05:00,I,atm_AQP001,atm_AQP001.csv,37
TXN-20260825-000117,ACC-100116,ACC-700116,PE90FINA0000000000100116,PE52FINA0000000000700116,5316.14,PEN,2026-08-25T09:52:00-05:00,AQP001,ATM,70000116,4556000000000116,2026-08-25T09:53:00-05:00,I,atm_AQP001,atm_AQP001.csv,38
TXN-20260825-000118,ACC-100117,ACC-700117,PE91FINA0000000000100117,PE53FINA0000000000700117,6762.86,PEN,2026-08-25T09:54:00-05:00,AQP001,ATM,70000117,4556000000000117,2026-08-25T09:55:00-05:00,I,atm_AQP001,atm_AQP001.csv,39
TXN-20260825-000119,ACC-100118,ACC-700118,PE92FINA0000000000100118,PE54FINA0000000000700118,17205.01,PEN,2026-08-25T09:56:00-05:00,AQP001,ATM,70000118,4556000000000118,2026-08-25T09:57:00-05:00,I,atm_AQP001,atm_AQP001.csv,40
TXN-20260825-000120,ACC-100119,ACC-700119,PE93FINA0000000000100119,PE55FINA0000000000700119,3701.46,PEN,2026-08-25T09:58:00-05:00,AQP001,ATM,70000119,4556000000000119,2026-08-25T09:59:00-05:00,I,atm_AQP001,atm_AQP001.csv,41
TXN-20260825-000121,ACC-100120,ACC-700120,PE94FINA0000000000100120,PE56FINA0000000000700120,21478.4,USD,2026-08-25T10:00:00-05:00,AQP001,ATM,70000120,4556000000000120,2026-08-25T10:01:00-05:00,I,atm_AQP001,atm_AQP001.csv,42
TXN-20260825-000122,ACC-100121,ACC-700121,PE95FINA0000000000100121,PE57FINA0000000000700121,1403.44,PEN,2026-08-25T10:02:00-05:00,AQP001,ATM,70000121,4556000000000121,2026-08-25T10:03:00-05:00,I,atm_AQP001,atm_AQP001.csv,43
TXN-20260825-000123,ACC-100122,ACC-700122,PE96FINA0000000000100122,PE58FINA0000000000700122,3035.74,PEN,2026-08-25T10:04:00-05:00,AQP001,ATM,70000122,4556000000000122,2026-08-25T10:05:00-05:00,I,atm_AQP001,atm_AQP001.csv,44
TXN-20260825-000124,ACC-100123,ACC-700123,PE97FINA0000000000100123,PE59FINA0000000000700123,4823.69,PEN,2026-08-25T10:06:00-05:00,AQP001,ATM,70000123,4556000000000123,2026-08-25T10:07:00-05:00,I,atm_AQP001,atm_AQP001.csv,45
TXN-20260825-000125,ACC-100124,ACC-700124,PE98FINA0000000000100124,PE60FINA0000000000700124,8837.92,PEN,2026-08-25T10:08:00-05:00,AQP001,ATM,70000124,4556000000000124,2026-08-25T10:09:00-05:00,I,atm_AQP001,atm_AQP001.csv,46
TXN-20260825-000126,ACC-100125,ACC-700125,PE10FINA0000000000100125,PE61FINA0000000000700125,14636.4,PEN,2026-08-25T10:10:00-05:00,AQP001,ATM,70000125,4556000000000125,2026-08-25T10:11:00-05:00,I,atm_AQP001,atm_AQP001.csv,47
TXN-20260825-000127,ACC-100126,ACC-700126,PE11FINA0000000000100126,PE62FINA0000000000700126,23362.94,PEN,2026-08-25T10:12:00-05:00,AQP001,ATM,70000126,4556000000000126,2026-08-25T10:13:00-05:00,I,atm_AQP001,atm_AQP001.csv,48
TXN-20260825-000128,ACC-100127,ACC-700127,PE12FINA0000000000100127,PE63FINA0000000000700127,519.44,PEN,2026-08-25T10:14:00-05:00,AQP001,ATM,70000127,4556000000000127,2026-08-25T10:15:00-05:00,I,atm_AQP001,atm_AQP001.csv,49
TXN-20260825-000129,ACC-100128,ACC-700128,PE13FINA0000000000100128,PE64FINA0000000000700128,11477.4,PEN,2026-08-25T10:16:00-05:00,AQP001,ATM,70000128,4556000000000128,2026-08-25T10:17:00-05:00,I,atm_AQP001,atm_AQP001.csv,50
TXN-20260825-000130,ACC-100129,ACC-700129,PE14FINA0000000000100129,PE65FINA0000000000700129,19790.46,PEN,2026-08-25T10:18:00-05:00,AQP001,ATM,70000129,4556000000000129,2026-08-25T10:19:00-05:00,I,atm_AQP001,atm_AQP001.csv,51
TXN-20260825-000131,ACC-100130,ACC-700130,PE15FINA0000000000100130,PE66FINA0000000000700130,16451.98,USD,2026-08-25T10:20:00-05:00,AQP001,ATM,70000130,4556000000000130,2026-08-25T10:21:00-05:00,I,atm_AQP001,atm_AQP001.csv,52
TXN-20260825-000132,ACC-100131,ACC-700131,PE16FINA0000000000100131,PE67FINA0000000000700131,17518.13,PEN,2026-08-25T10:22:00-05:00,AQP001,ATM,70000131,4556000000000131,2026-08-25T10:23:00-05:00,I,atm_AQP001,atm_AQP001.csv,53
TXN-20260825-000133,ACC-100132,ACC-700132,PE17FINA0000000000100132,PE68FINA0000000000700132,3172.57,PEN,2026-08-25T10:24:00-05:00,AQP001,ATM,70000132,4556000000000132,2026-08-25T10:25:00-05:00,I,atm_AQP001,atm_AQP001.csv,54
TXN-20260825-000134,ACC-100133,ACC-700133,PE18FINA0000000000100133,PE69FINA0000000000700133,22208.09,PEN,2026-08-25T10:26:00-05:00,AQP001,ATM,70000133,4556000000000133,2026-08-25T10:27:00-05:00,I,atm_AQP001,atm_AQP001.csv,55
TXN-20260825-000135,ACC-100134,ACC-700134,PE19FINA0000000000100134,PE70FINA0000000000700134,21568.45,PEN,2026-08-25T10:28:00-05:00,AQP001,ATM,70000134,4556000000000134,2026-08-25T10:29:00-05:00,I,atm_AQP001,atm_AQP001.csv,56
TXN-20260825-000136,ACC-100135,ACC-700135,PE20FINA0000000000100135,PE71FINA0000000000700135,18381.96,PEN,2026-08-25T10:30:00-05:00,AQP001,ATM,70000135,4556000000000135,2026-08-25T10:31:00-05:00,I,atm_AQP001,atm_AQP001.csv,57
TXN-20260825-000137,ACC-100136,ACC-700136,PE21FINA0000000000100136,PE72FINA0000000000700136,20452.51,PEN,2026-08-25T10:32:00-05:00,AQP001,ATM,70000136,4556000000000136,2026-08-25T10:33:00-05:00,I,atm_AQP001,atm_AQP001.csv,58
TXN-20260825-000138,ACC-100137,ACC-700137,PE22FINA0000000000100137,PE73FINA0000000000700137,23711.84,PEN,2026-08-25T10:34:00-05:00,AQP001,ATM,70000137,4556000000000137,2026-08-25T10:35:00-05:00,I,atm_AQP001,atm_AQP001.csv,59
TXN-20260825-000139,ACC-100138,ACC-700138,PE23FINA0000000000100138,PE74FINA0000000000700138,5462.23,PEN,2026-08-25T10:36:00-05:00,AQP001,ATM,70000138,4556000000000138,2026-08-25T10:37:00-05:00,I,atm_AQP001,atm_AQP001.csv,60
TXN-20260825-000140,ACC-100139,ACC-700139,PE24FINA0000000000100139,PE75FINA0000000000700139,6118.87,PEN,2026-08-25T10:38:00-05:00,AQP001,ATM,70000139,4556000000000139,2026-08-25T10:39:00-05:00,I,atm_AQP001,atm_AQP001.csv,61
TXN-20260825-000141,ACC-100140,ACC-700140,PE25FINA0000000000100140,PE76FINA0000000000700140,20136.87,USD,2026-08-25T10:40:00-05:00,AQP001,ATM,70000140,4556000000000140,2026-08-25T10:41:00-05:00,I,atm_AQP001,atm_AQP001.csv,62
TXN-20260825-000142,ACC-100141,ACC-700141,PE26FINA0000000000100141,PE77FINA0000000000700141,16192.5,PEN,2026-08-25T10:42:00-05:00,AQP001,ATM,70000141,4556000000000141,2026-08-25T10:43:00-05:00,I,atm_AQP001,atm_AQP001.csv,63
TXN-20260825-000143,ACC-100142,ACC-700142,PE27FINA0000000000100142,PE78FINA0000000000700142,19189.44,PEN,2026-08-25T10:44:00-05:00,AQP001,ATM,70000142,4556000000000142,2026-08-25T10:45:00-05:00,I,atm_AQP001,atm_AQP001.csv,64
TXN-20260825-000144,ACC-100143,ACC-700143,PE28FINA0000000000100143,PE79FINA0000000000700143,15475.35,PEN,2026-08-25T10:46:00-05:00,AQP001,ATM,70000143,4556000000000143,2026-08-25T10:47:00-05:00,I,atm_AQP001,atm_AQP001.csv,65
TXN-20260825-000145,ACC-100144,ACC-700144,PE29FINA0000000000100144,PE80FINA0000000000700144,18823.42,PEN,2026-08-25T10:48:00-05:00,AQP001,ATM,70000144,4556000000000144,2026-08-25T10:49:00-05:00,I,atm_AQP001,atm_AQP001.csv,66
TXN-20260825-000146,ACC-100145,ACC-700145,PE30FINA0000000000100145,PE81FINA0000000000700145,13318.83,PEN,2026-08-25T10:50:00-05:00,AQP001,ATM,70000145,4556000000000145,2026-08-25T10:51:00-05:00,I,atm_AQP001,atm_AQP001.csv,67
TXN-20260825-000147,ACC-100146,ACC-700146,PE31FINA0000000000100146,PE82FINA0000000000700146,1730.86,PEN,2026-08-25T10:52:00-05:00,AQP001,ATM,70000146,4556000000000146,2026-08-25T10:53:00-05:00,I,atm_AQP001,atm_AQP001.csv,68
TXN-20260825-000148,ACC-100147,ACC-700147,PE32FINA0000000000100147,PE83FINA0000000000700147,17137.06,PEN,2026-08-25T10:54:00-05:00,AQP001,ATM,70000147,4556000000000147,2026-08-25T10:55:00-05:00,I,atm_AQP001,atm_AQP001.csv,69
TXN-20260825-000149,ACC-100148,ACC-700148,PE33FINA0000000000100148,PE84FINA0000000000700148,10272.28,PEN,2026-08-25T10:56:00-05:00,AQP001,ATM,70000148,4556000000000148,2026-08-25T10:57:00-05:00,I,atm_AQP001,atm_AQP001.csv,70
TXN-20260825-000150,ACC-100149,ACC-700149,PE34FINA0000000000100149,PE85FINA0000000000700149,13828.87,PEN,2026-08-25T10:58:00-05:00,AQP001,ATM,70000149,4556000000000149,2026-08-25T10:59:00-05:00,I,atm_AQP001,atm_AQP001.csv,71
TXN-20260825-000151,ACC-100150,ACC-700150,PE35FINA0000000000100150,PE86FINA0000000000700150,13074.82,USD,2026-08-25T11:00:00-05:00,AQP001,ATM,70000150,4556000000000150,2026-08-25T11:01:00-05:00,I,atm_AQP001,atm_AQP001.csv,72
TXN-20260825-000152,ACC-100151,ACC-700151,PE36FINA0000000000100151,PE87FINA0000000000700151,13872.01,PEN,2026-08-25T11:02:00-05:00,AQP001,ATM,70000151,4556000000000151,2026-08-25T11:03:00-05:00,I,atm_AQP001,atm_AQP001.csv,73
TXN-20260825-000153,ACC-100152,ACC-700152,PE37FINA0000000000100152,PE88FINA0000000000700152,12184.34,PEN,2026-08-25T11:04:00-05:00,AQP001,ATM,70000152,4556000000000152,2026-08-25T11:05:00-05:00,I,atm_AQP001,atm_AQP001.csv,74
TXN-20260825-000154,ACC-100153,ACC-700153,PE38FINA0000000000100153,PE89FINA0000000000700153,1779.24,PEN,2026-08-25T11:06:00-05:00,AQP001,ATM,70000153,4556000000000153,2026-08-25T11:07:00-05:00,I,atm_AQP001,atm_AQP001.csv,75
TXN-20260825-000155,ACC-100154,ACC-700154,PE39FINA0000000000100154,PE90FINA0000000000700154,8042.1,PEN,2026-08-25T11:08:00-05:00,AQP001,ATM,70000154,4556000000000154,2026-08-25T11:09:00-05:00,I,atm_AQP001,atm_AQP001.csv,76
TXN-20260825-000156,ACC-100155,ACC-700155,PE40FINA0000000000100155,PE91FINA0000000000700155,16994.5,PEN,2026-08-25T11:10:00-05:00,AQP001,ATM,70000155,4556000000000155,2026-08-25T11:11:00-05:00,I,atm_AQP001,atm_AQP001.csv,77
TXN-20260825-000157,ACC-100156,ACC-700156,PE41FINA0000000000100156,PE92FINA0000000000700156,23902.4,PEN,2026-08-25T11:12:00-05:00,AQP001,ATM,70000156,4556000000000156,2026-08-25T11:13:00-05:00,I,atm_AQP001,atm_AQP001.csv,78
TXN-20260825-000158,ACC-100157,ACC-700157,PE42FINA0000000000100157,PE93FINA0000000000700157,17661.03,PEN,2026-08-25T11:14:00-05:00,AQP001,ATM,70000157,4556000000000157,2026-08-25T11:15:00-05:00,I,atm_AQP001,atm_AQP001.csv,79
TXN-20260825-000159,ACC-100158,ACC-700158,PE43FINA0000000000100158,PE94FINA0000000000700158,8306.44,PEN,2026-08-25T11:16:00-05:00,AQP001,ATM,70000158,4556000000000158,2026-08-25T11:17:00-05:00,I,atm_AQP001,atm_AQP001.csv,80
TXN-20260825-000160,ACC-100159,ACC-700159,PE44FINA0000000000100159,PE95FINA0000000000700159,16351.57,PEN,2026-08-25T11:18:00-05:00,AQP001,ATM,70000159,4556000000000159,2026-08-25T11:19:00-05:00,I,atm_AQP001,atm_AQP001.csv,81
TXN-20260825-000001,ACC-100000,ACC-700000,PE63FINA0000000000100000,PE25FINA0000000000700000,18814.23,USD,2026-08-25T06:00:00-05:00,LIM001,ATM,70000000,4556000000000000,2026-08-25T06:01:00-05:00,I,atm_LIM001,atm_LIM001.csv,2
TXN-20260825-000002,ACC-100001,ACC-700001,PE64FINA0000000000100001,PE26FINA0000000000700001,12500.73,PEN,2026-08-25T06:02:00-05:00,LIM001,ATM,70000001,4556000000000001,2026-08-25T06:03:00-05:00,I,atm_LIM001,atm_LIM001.csv,3
TXN-20260825-000003,ACC-100002,ACC-700002,PE65FINA0000000000100002,PE27FINA0000000000700002,10743.76,PEN,2026-08-25T06:04:00-05:00,LIM001,ATM,70000002,4556000000000002,2026-08-25T06:05:00-05:00,I,atm_LIM001,atm_LIM001.csv,4
TXN-20260825-000004,ACC-100003,ACC-700003,PE66FINA0000000000100003,PE28FINA0000000000700003,11246.33,PEN,2026-08-25T06:06:00-05:00,LIM001,ATM,70000003,4556000000000003,2026-08-25T06:07:00-05:00,I,atm_LIM001,atm_LIM001.csv,5
TXN-20260825-000005,ACC-100004,ACC-700004,PE67FINA0000000000100004,PE29FINA0000000000700004,934.24,PEN,2026-08-25T06:08:00-05:00,LIM001,ATM,70000004,4556000000000004,2026-08-25T06:09:00-05:00,I,atm_LIM001,atm_LIM001.csv,6
TXN-20260825-000006,ACC-100005,ACC-700005,PE68FINA0000000000100005,PE30FINA0000000000700005,2849.46,PEN,2026-08-25T06:10:00-05:00,LIM001,ATM,70000005,4556000000000005,2026-08-25T06:11:00-05:00,I,atm_LIM001,atm_LIM001.csv,7
TXN-20260825-000007,ACC-100006,ACC-700006,PE69FINA0000000000100006,PE31FINA0000000000700006,19297.74,PEN,2026-08-25T06:12:00-05:00,LIM001,ATM,70000006,4556000000000006,2026-08-25T06:13:00-05:00,I,atm_LIM001,atm_LIM001.csv,8
TXN-20260825-000008,ACC-100007,ACC-700007,PE70FINA0000000000100007,PE32FINA0000000000700007,22769.92,PEN,2026-08-25T06:14:00-05:00,LIM001,ATM,70000007,4556000000000007,2026-08-25T06:15:00-05:00,I,atm_LIM001,atm_LIM001.csv,9
TXN-20260825-000009,ACC-100008,ACC-700008,PE71FINA0000000000100008,PE33FINA0000000000700008,22256.84,PEN,2026-08-25T06:16:00-05:00,LIM001,ATM,70000008,4556000000000008,2026-08-25T06:17:00-05:00,I,atm_LIM001,atm_LIM001.csv,10
TXN-20260825-000010,ACC-100009,ACC-700009,PE72FINA0000000000100009,PE34FINA0000000000700009,3993.7,PEN,2026-08-25T06:18:00-05:00,LIM001,ATM,70000009,4556000000000009,2026-08-25T06:19:00-05:00,I,atm_LIM001,atm_LIM001.csv,11
TXN-20260825-000011,ACC-100010,ACC-700010,PE73FINA0000000000100010,PE35FINA0000000000700010,23932.75,USD,2026-08-25T06:20:00-05:00,LIM001,ATM,70000010,4556000000000010,2026-08-25T06:21:00-05:00,I,atm_LIM001,atm_LIM001.csv,12
TXN-20260825-000012,ACC-100011,ACC-700011,PE74FINA0000000000100011,PE36FINA0000000000700011,3538.88,PEN,2026-08-25T06:22:00-05:00,LIM001,ATM,70000011,4556000000000011,2026-08-25T06:23:00-05:00,I,atm_LIM001,atm_LIM001.csv,13
TXN-20260825-000013,ACC-100012,ACC-700012,PE75FINA0000000000100012,PE37FINA0000000000700012,12101.04,PEN,2026-08-25T06:24:00-05:00,LIM001,ATM,70000012,4556000000000012,2026-08-25T06:25:00-05:00,I,atm_LIM001,atm_LIM001.csv,14
TXN-20260825-000014,ACC-100013,ACC-700013,PE76FINA0000000000100013,PE38FINA0000000000700013,11365.57,PEN,2026-08-25T06:26:00-05:00,LIM001,ATM,70000013,4556000000000013,2026-08-25T06:27:00-05:00,I,atm_LIM001,atm_LIM001.csv,15
TXN-20260825-000015,ACC-100014,ACC-700014,PE77FINA0000000000100014,PE39FINA0000000000700014,15703.14,PEN,2026-08-25T06:28:00-05:00,LIM001,ATM,70000014,4556000000000014,2026-08-25T06:29:00-05:00,I,atm_LIM001,atm_LIM001.csv,16
TXN-20260825-000016,ACC-100015,ACC-700015,PE78FINA0000000000100015,PE40FINA0000000000700015,6314.86,PEN,2026-08-25T06:30:00-05:00,LIM001,ATM,70000015,4556000000000015,2026-08-25T06:31:00-05:00,I,atm_LIM001,atm_LIM001.csv,17
TXN-20260825-000017,ACC-100016,ACC-700016,PE79FINA0000000000100016,PE41FINA0000000000700016,16388.79,PEN,2026-08-25T06:32:00-05:00,LIM001,ATM,70000016,4556000000000016,2026-08-25T06:33:00-05:00,I,atm_LIM001,atm_LIM001.csv,18
TXN-20260825-000018,ACC-100017,ACC-700017,PE80FINA0000000000100017,PE42FINA0000000000700017,19233.73,PEN,2026-08-25T06:34:00-05:00,LIM001,ATM,70000017,4556000000000017,2026-08-25T06:35:00-05:00,I,atm_LIM001,atm_LIM001.csv,19
TXN-20260825-000019,ACC-100018,ACC-700018,PE81FINA0000000000100018,PE43FINA0000000000700018,19403.24,PEN,2026-08-25T06:36:00-05:00,LIM001,ATM,70000018,4556000000000018,2026-08-25T06:37:00-05:00,I,atm_LIM001,atm_LIM001.csv,20
TXN-20260825-000020,ACC-100019,ACC-700019,PE82FINA0000000000100019,PE44FINA0000000000700019,5264.49,PEN,2026-08-25T06:38:00-05:00,LIM001,ATM,70000019,4556000000000019,2026-08-25T06:39:00-05:00,I,atm_LIM001,atm_LIM001.csv,21
TXN-20260825-000021,ACC-100020,ACC-700020,PE83FINA0000000000100020,PE45FINA0000000000700020,8732.36,USD,2026-08-25T06:40:00-05:00,LIM001,ATM,70000020,4556000000000020,2026-08-25T06:41:00-05:00,I,atm_LIM001,atm_LIM001.csv,22
